,query,dataset,runtime,variant,configuration
39,14.sql,tpch,1640621,vanilla,unmod_spark
40,13.sql,tpch,1198333,vanilla,unmod_spark
41,10.sql,tpch,3155761,vanilla,unmod_spark
42,8.sql,tpch,14359679,vanilla,unmod_spark
43,23.sql,tpch,406022,vanilla,unmod_spark
44,25.sql,tpch,388850,vanilla,unmod_spark
45,27.sql,tpch,4048877,vanilla,unmod_spark
46,29.sql,tpch,3069728,vanilla,unmod_spark
47,28.sql,tpch,2575124,vanilla,unmod_spark
48,24.sql,tpch,367006,vanilla,unmod_spark
49,26.sql,tpch,352900,vanilla,unmod_spark
50,30.sql,tpch,2781043,vanilla,unmod_spark
51,37.sql,tpch,1417281,vanilla,unmod_spark
52,32.sql,tpch,458827,vanilla,unmod_spark
53,33.sql,tpch,413868,vanilla,unmod_spark
54,34.sql,tpch,431528,vanilla,unmod_spark
55,31.sql,tpch,404465,vanilla,unmod_spark
56,36.sql,tpch,1422345,vanilla,unmod_spark
57,35.sql,tpch,1406012,vanilla,unmod_spark
58,6.sql,tpch,1096644,vanilla,unmod_spark
59,2.sql,tpch,797830,vanilla,unmod_spark
60,1.sql,tpch,1255766,vanilla,unmod_spark
61,5.sql,tpch,10483943,vanilla,unmod_spark
62,3.sql,tpch,3565967,vanilla,unmod_spark
63,7.sql,tpch,4058806,vanilla,unmod_spark
64,4.sql,tpch,1943663,vanilla,unmod_spark
65,12.sql,tpch,1374978,vanilla,unmod_spark
66,11.sql,tpch,504073,vanilla,unmod_spark
67,9.sql,tpch,16785849,vanilla,unmod_spark
68,14.sql,tpch,1543355,vanilla,unmod_spark
69,13.sql,tpch,1221371,vanilla,unmod_spark
70,10.sql,tpch,3027397,vanilla,unmod_spark
71,8.sql,tpch,12333098,vanilla,unmod_spark
72,23.sql,tpch,411926,vanilla,unmod_spark
73,25.sql,tpch,420178,vanilla,unmod_spark
74,27.sql,tpch,3265251,vanilla,unmod_spark
75,29.sql,tpch,3208881,vanilla,unmod_spark
76,28.sql,tpch,3123425,vanilla,unmod_spark
77,24.sql,tpch,380464,vanilla,unmod_spark
78,26.sql,tpch,365339,vanilla,unmod_spark
79,30.sql,tpch,3358653,vanilla,unmod_spark
80,37.sql,tpch,1427458,vanilla,unmod_spark
81,32.sql,tpch,429758,vanilla,unmod_spark
82,33.sql,tpch,423381,vanilla,unmod_spark
83,34.sql,tpch,461045,vanilla,unmod_spark
84,31.sql,tpch,427046,vanilla,unmod_spark
85,36.sql,tpch,1426846,vanilla,unmod_spark
86,35.sql,tpch,1429166,vanilla,unmod_spark
87,21.sql,tpch,15879664,vanilla,unmod_spark
88,17.sql,tpch,11118730,vanilla,unmod_spark
89,20.sql,tpch,2282491,vanilla,unmod_spark
90,16.sql,tpch,167056,vanilla,unmod_spark
91,15.sql,tpch,3124852,vanilla,unmod_spark
92,19.sql,tpch,1920509,vanilla,unmod_spark
93,22.sql,tpch,347413,vanilla,unmod_spark
94,21.sql,tpch,16327054,vanilla,unmod_spark
95,17.sql,tpch,10115797,vanilla,unmod_spark
96,15.sql,tpch,3089926,vanilla,unmod_spark
97,22.sql,tpch,391354,vanilla,unmod_spark
98,20.sql,tpch,2257782,vanilla,unmod_spark
99,16.sql,tpch,173186,vanilla,unmod_spark
100,19.sql,tpch,1937374,vanilla,unmod_spark
101,18.sql,tpch,8929036,vanilla,unmod_spark
102,6.sql,tpch,1098080,bare,unmod_spark
103,2.sql,tpch,796705,bare,unmod_spark
104,1.sql,tpch,1234228,bare,unmod_spark
105,5.sql,tpch,12187609,bare,unmod_spark
106,3.sql,tpch,4015977,bare,unmod_spark
107,7.sql,tpch,4444494,bare,unmod_spark
108,4.sql,tpch,2044330,bare,unmod_spark
109,12.sql,tpch,1501347,bare,unmod_spark
110,11.sql,tpch,304666,bare,unmod_spark
111,9.sql,tpch,18146733,bare,unmod_spark
112,14.sql,tpch,1784412,bare,unmod_spark
113,13.sql,tpch,1145260,bare,unmod_spark
114,10.sql,tpch,2868809,bare,unmod_spark
115,8.sql,tpch,11841345,bare,unmod_spark
116,23.sql,tpch,405157,bare,unmod_spark
117,25.sql,tpch,416174,bare,unmod_spark
118,27.sql,tpch,2939430,bare,unmod_spark
119,29.sql,tpch,3208631,bare,unmod_spark
120,28.sql,tpch,3275142,bare,unmod_spark
121,24.sql,tpch,382381,bare,unmod_spark
122,26.sql,tpch,374668,bare,unmod_spark
123,30.sql,tpch,3037580,bare,unmod_spark
124,37.sql,tpch,1426365,bare,unmod_spark
125,32.sql,tpch,450917,bare,unmod_spark
126,33.sql,tpch,410962,bare,unmod_spark
127,34.sql,tpch,453876,bare,unmod_spark
128,31.sql,tpch,400463,bare,unmod_spark
129,36.sql,tpch,1432011,bare,unmod_spark
130,35.sql,tpch,1394153,bare,unmod_spark
131,6.sql,tpch,1078152,bare,unmod_spark
132,2.sql,tpch,924529,bare,unmod_spark
133,1.sql,tpch,1247079,bare,unmod_spark
134,5.sql,tpch,10230342,bare,unmod_spark
135,3.sql,tpch,3551586,bare,unmod_spark
136,7.sql,tpch,4494554,bare,unmod_spark
137,4.sql,tpch,1873588,bare,unmod_spark
138,12.sql,tpch,1656881,bare,unmod_spark
139,11.sql,tpch,342745,bare,unmod_spark
140,9.sql,tpch,18677506,bare,unmod_spark
141,14.sql,tpch,1537553,bare,unmod_spark
142,13.sql,tpch,1173870,bare,unmod_spark
143,10.sql,tpch,3496596,bare,unmod_spark
144,8.sql,tpch,13602009,bare,unmod_spark
145,23.sql,tpch,390143,bare,unmod_spark
146,25.sql,tpch,409082,bare,unmod_spark
147,27.sql,tpch,3894513,bare,unmod_spark
148,29.sql,tpch,2719434,bare,unmod_spark
149,28.sql,tpch,3025499,bare,unmod_spark
150,24.sql,tpch,363750,bare,unmod_spark
151,26.sql,tpch,351324,bare,unmod_spark
152,30.sql,tpch,2714657,bare,unmod_spark
153,37.sql,tpch,1429695,bare,unmod_spark
154,32.sql,tpch,457529,bare,unmod_spark
155,33.sql,tpch,412579,bare,unmod_spark
156,34.sql,tpch,407445,bare,unmod_spark
157,31.sql,tpch,385668,bare,unmod_spark
158,36.sql,tpch,1413792,bare,unmod_spark
159,35.sql,tpch,1419160,bare,unmod_spark
160,32.sql,tpch,484994,bare,unmod_spark
161,27.sql,tpch,3114485,bare,unmod_spark
162,9.sql,tpch,17005252,bare,unmod_spark
163,2.sql,tpch,805898,bare,unmod_spark
164,29.sql,tpch,3446642,bare,unmod_spark
165,14.sql,tpch,1578630,bare,unmod_spark
166,28.sql,tpch,3519235,bare,unmod_spark
167,7.sql,tpch,4665258,bare,unmod_spark
168,12.sql,tpch,1426410,bare,unmod_spark
169,17.sql,tpch,10747788,bare,unmod_spark
170,33.sql,tpch,412956,bare,unmod_spark
171,20.sql,tpch,2235007,bare,unmod_spark
172,31.sql,tpch,398709,bare,unmod_spark
173,24.sql,tpch,381175,bare,unmod_spark
174,8.sql,tpch,12134934,bare,unmod_spark
175,19.sql,tpch,1939323,bare,unmod_spark
176,30.sql,tpch,3013133,bare,unmod_spark
177,23.sql,tpch,373245,bare,unmod_spark
178,6.sql,tpch,1103418,bare,unmod_spark
179,25.sql,tpch,398912,bare,unmod_spark
180,1.sql,tpch,1232588,bare,unmod_spark
181,22.sql,tpch,373266,bare,unmod_spark
182,3.sql,tpch,3529866,bare,unmod_spark
183,21.sql,tpch,14518663,bare,unmod_spark
184,15.sql,tpch,3099191,bare,unmod_spark
185,5.sql,tpch,9899208,bare,unmod_spark
186,10.sql,tpch,3319594,bare,unmod_spark
187,36.sql,tpch,1430447,bare,unmod_spark
188,35.sql,tpch,1403981,bare,unmod_spark
189,26.sql,tpch,360425,bare,unmod_spark
190,34.sql,tpch,440950,bare,unmod_spark
191,20.sql,tpch,2344846,bare,unmod_spark
192,4.sql,tpch,1973152,bare,unmod_spark
193,37.sql,tpch,1423688,bare,unmod_spark
194,22.sql,tpch,316121,bare,unmod_spark
195,16.sql,tpch,157770,bare,unmod_spark
196,21.sql,tpch,14368219,bare,unmod_spark
197,17.sql,tpch,10403154,bare,unmod_spark
198,15.sql,tpch,3080833,bare,unmod_spark
199,13.sql,tpch,1174235,bare,unmod_spark
200,22.sql,tpch,319151,bare,unmod_spark
201,19.sql,tpch,1900092,bare,unmod_spark
202,17.sql,tpch,9669631,bare,unmod_spark
203,15.sql,tpch,3086366,bare,unmod_spark
204,11.sql,tpch,333190,bare,unmod_spark
205,16.sql,tpch,164912,bare,unmod_spark
206,20.sql,tpch,2140647,bare,unmod_spark
207,16.sql,tpch,173193,bare,unmod_spark
208,19.sql,tpch,1927953,bare,unmod_spark
209,21.sql,tpch,14873957,bare,unmod_spark
210,6.sql,tpch,1081289,register,unmod_spark
211,2.sql,tpch,639272,register,unmod_spark
212,1.sql,tpch,1233901,register,unmod_spark
213,5.sql,tpch,9494787,register,unmod_spark
214,3.sql,tpch,3371215,register,unmod_spark
215,7.sql,tpch,4152718,register,unmod_spark
216,4.sql,tpch,1876951,register,unmod_spark
217,12.sql,tpch,1514349,register,unmod_spark
218,11.sql,tpch,373172,register,unmod_spark
219,9.sql,tpch,16908502,register,unmod_spark
220,14.sql,tpch,1649502,register,unmod_spark
221,13.sql,tpch,1287727,register,unmod_spark
222,10.sql,tpch,2981023,register,unmod_spark
223,8.sql,tpch,11838740,register,unmod_spark
224,23.sql,tpch,406469,register,unmod_spark
225,25.sql,tpch,404512,register,unmod_spark
226,27.sql,tpch,3044644,register,unmod_spark
227,29.sql,tpch,3015611,register,unmod_spark
228,28.sql,tpch,3219801,register,unmod_spark
229,24.sql,tpch,367954,register,unmod_spark
230,26.sql,tpch,359458,register,unmod_spark
231,30.sql,tpch,3204236,register,unmod_spark
232,37.sql,tpch,1419201,register,unmod_spark
233,32.sql,tpch,428861,register,unmod_spark
234,6.sql,tpch,1097352,register,unmod_spark
235,2.sql,tpch,680374,register,unmod_spark
236,1.sql,tpch,1226634,register,unmod_spark
237,5.sql,tpch,10392603,register,unmod_spark
238,3.sql,tpch,3811143,register,unmod_spark
239,7.sql,tpch,4484373,register,unmod_spark
240,4.sql,tpch,1778053,register,unmod_spark
241,12.sql,tpch,1363793,register,unmod_spark
242,11.sql,tpch,488981,register,unmod_spark
243,9.sql,tpch,17159844,register,unmod_spark
244,14.sql,tpch,1554513,register,unmod_spark
245,13.sql,tpch,1332864,register,unmod_spark
246,10.sql,tpch,2989883,register,unmod_spark
247,8.sql,tpch,12986471,register,unmod_spark
248,23.sql,tpch,389987,register,unmod_spark
249,25.sql,tpch,418054,register,unmod_spark
250,27.sql,tpch,3113855,register,unmod_spark
251,29.sql,tpch,2971528,register,unmod_spark
252,28.sql,tpch,3352199,register,unmod_spark
253,24.sql,tpch,393818,register,unmod_spark
254,26.sql,tpch,386819,register,unmod_spark
255,30.sql,tpch,3174420,register,unmod_spark
256,37.sql,tpch,1425488,register,unmod_spark
257,32.sql,tpch,404049,register,unmod_spark
258,32.sql,tpch,434864,register,unmod_spark
259,27.sql,tpch,2602280,register,unmod_spark
260,9.sql,tpch,18406037,register,unmod_spark
261,2.sql,tpch,727423,register,unmod_spark
262,29.sql,tpch,3029259,register,unmod_spark
263,14.sql,tpch,1561035,register,unmod_spark
264,28.sql,tpch,3204871,register,unmod_spark
265,7.sql,tpch,4537478,register,unmod_spark
266,12.sql,tpch,1464097,register,unmod_spark
267,17.sql,tpch,10046665,register,unmod_spark
268,33.sql,tpch,410501,register,unmod_spark
269,20.sql,tpch,2244303,register,unmod_spark
270,31.sql,tpch,401894,register,unmod_spark
271,24.sql,tpch,364059,register,unmod_spark
272,8.sql,tpch,11796776,register,unmod_spark
273,19.sql,tpch,1946058,register,unmod_spark
274,30.sql,tpch,2704270,register,unmod_spark
275,23.sql,tpch,358479,register,unmod_spark
276,6.sql,tpch,1117291,register,unmod_spark
277,25.sql,tpch,389836,register,unmod_spark
278,1.sql,tpch,1230016,register,unmod_spark
279,22.sql,tpch,363596,register,unmod_spark
280,3.sql,tpch,3588593,register,unmod_spark
281,21.sql,tpch,14274377,register,unmod_spark
282,15.sql,tpch,3104463,register,unmod_spark
283,5.sql,tpch,9823436,register,unmod_spark
284,10.sql,tpch,3501405,register,unmod_spark
285,36.sql,tpch,1431812,register,unmod_spark
286,35.sql,tpch,1411420,register,unmod_spark
287,26.sql,tpch,356164,register,unmod_spark
288,33.sql,tpch,462026,register,unmod_spark
289,34.sql,tpch,476037,register,unmod_spark
290,22.sql,tpch,260714,register,unmod_spark
291,31.sql,tpch,440267,register,unmod_spark
292,37.sql,tpch,1423549,register,unmod_spark
293,11.sql,tpch,514717,register,unmod_spark
294,35.sql,tpch,1408922,register,unmod_spark
295,19.sql,tpch,1912859,register,unmod_spark
296,21.sql,tpch,14987868,register,unmod_spark
297,13.sql,tpch,1121693,register,unmod_spark
298,16.sql,tpch,166301,register,unmod_spark
299,15.sql,tpch,3079986,register,unmod_spark
300,36.sql,tpch,1420716,register,unmod_spark
301,4.sql,tpch,2390500,register,unmod_spark
302,34.sql,tpch,494118,register,unmod_spark
303,35.sql,tpch,1420095,register,unmod_spark
304,19.sql,tpch,1918745,register,unmod_spark
305,33.sql,tpch,477777,register,unmod_spark
306,15.sql,tpch,3084713,register,unmod_spark
307,22.sql,tpch,335552,register,unmod_spark
308,21.sql,tpch,14253538,register,unmod_spark
309,17.sql,tpch,10157727,register,unmod_spark
310,16.sql,tpch,266463,register,unmod_spark
311,31.sql,tpch,446364,register,unmod_spark
312,36.sql,tpch,1430789,register,unmod_spark
313,17.sql,tpch,9885424,register,unmod_spark
314,34.sql,tpch,492384,register,unmod_spark
315,16.sql,tpch,167818,register,unmod_spark
316,20.sql,tpch,2138190,register,unmod_spark
317,20.sql,tpch,2209474,register,unmod_spark
318,6.sql,tpch,1103539,nowrite,unmod_spark
319,2.sql,tpch,646121,nowrite,unmod_spark
320,1.sql,tpch,1219067,nowrite,unmod_spark
321,5.sql,tpch,10136278,nowrite,unmod_spark
322,3.sql,tpch,4028866,nowrite,unmod_spark
323,7.sql,tpch,4475713,nowrite,unmod_spark
324,4.sql,tpch,1740141,nowrite,unmod_spark
325,12.sql,tpch,1522765,nowrite,unmod_spark
326,11.sql,tpch,495908,nowrite,unmod_spark
327,9.sql,tpch,17548769,nowrite,unmod_spark
328,14.sql,tpch,1560235,nowrite,unmod_spark
329,13.sql,tpch,1161129,nowrite,unmod_spark
330,10.sql,tpch,3220307,nowrite,unmod_spark
331,8.sql,tpch,14183966,nowrite,unmod_spark
332,23.sql,tpch,409951,nowrite,unmod_spark
333,25.sql,tpch,416227,nowrite,unmod_spark
334,27.sql,tpch,2827593,nowrite,unmod_spark
335,29.sql,tpch,3438515,nowrite,unmod_spark
336,28.sql,tpch,3567300,nowrite,unmod_spark
337,24.sql,tpch,385950,nowrite,unmod_spark
338,26.sql,tpch,395624,nowrite,unmod_spark
339,30.sql,tpch,2966114,nowrite,unmod_spark
340,37.sql,tpch,1412770,nowrite,unmod_spark
341,32.sql,tpch,465489,nowrite,unmod_spark
342,33.sql,tpch,439970,nowrite,unmod_spark
343,34.sql,tpch,431717,nowrite,unmod_spark
344,31.sql,tpch,450849,nowrite,unmod_spark
345,36.sql,tpch,1425132,nowrite,unmod_spark
346,35.sql,tpch,1404166,nowrite,unmod_spark
347,6.sql,tpch,1086690,nowrite,unmod_spark
348,2.sql,tpch,679794,nowrite,unmod_spark
349,1.sql,tpch,1246542,nowrite,unmod_spark
350,5.sql,tpch,9446815,nowrite,unmod_spark
351,3.sql,tpch,3501003,nowrite,unmod_spark
352,7.sql,tpch,4197408,nowrite,unmod_spark
353,4.sql,tpch,1812992,nowrite,unmod_spark
354,12.sql,tpch,1507684,nowrite,unmod_spark
355,11.sql,tpch,376185,nowrite,unmod_spark
356,9.sql,tpch,15675839,nowrite,unmod_spark
357,14.sql,tpch,1586226,nowrite,unmod_spark
358,13.sql,tpch,1224986,nowrite,unmod_spark
359,10.sql,tpch,3291385,nowrite,unmod_spark
360,8.sql,tpch,11894754,nowrite,unmod_spark
361,23.sql,tpch,388648,nowrite,unmod_spark
362,25.sql,tpch,399762,nowrite,unmod_spark
363,27.sql,tpch,2833025,nowrite,unmod_spark
364,29.sql,tpch,3126621,nowrite,unmod_spark
365,28.sql,tpch,3100938,nowrite,unmod_spark
366,24.sql,tpch,388351,nowrite,unmod_spark
367,26.sql,tpch,385280,nowrite,unmod_spark
368,30.sql,tpch,3224042,nowrite,unmod_spark
369,37.sql,tpch,1424761,nowrite,unmod_spark
370,32.sql,tpch,417593,nowrite,unmod_spark
371,33.sql,tpch,414696,nowrite,unmod_spark
372,34.sql,tpch,479440,nowrite,unmod_spark
373,31.sql,tpch,390570,nowrite,unmod_spark
374,36.sql,tpch,1427020,nowrite,unmod_spark
375,35.sql,tpch,1400100,nowrite,unmod_spark
376,32.sql,tpch,449824,nowrite,unmod_spark
377,27.sql,tpch,3175724,nowrite,unmod_spark
378,9.sql,tpch,18920106,nowrite,unmod_spark
379,2.sql,tpch,582208,nowrite,unmod_spark
380,29.sql,tpch,3093693,nowrite,unmod_spark
381,14.sql,tpch,1627860,nowrite,unmod_spark
382,28.sql,tpch,3775504,nowrite,unmod_spark
383,7.sql,tpch,4830563,nowrite,unmod_spark
384,12.sql,tpch,1402485,nowrite,unmod_spark
385,17.sql,tpch,10022609,nowrite,unmod_spark
386,33.sql,tpch,443680,nowrite,unmod_spark
387,20.sql,tpch,2258294,nowrite,unmod_spark
388,31.sql,tpch,401563,nowrite,unmod_spark
389,24.sql,tpch,385313,nowrite,unmod_spark
390,8.sql,tpch,12753351,nowrite,unmod_spark
391,19.sql,tpch,1938946,nowrite,unmod_spark
392,30.sql,tpch,3709146,nowrite,unmod_spark
393,23.sql,tpch,394675,nowrite,unmod_spark
394,6.sql,tpch,1149896,nowrite,unmod_spark
395,25.sql,tpch,409859,nowrite,unmod_spark
396,1.sql,tpch,1316838,nowrite,unmod_spark
397,22.sql,tpch,325567,nowrite,unmod_spark
398,3.sql,tpch,3675882,nowrite,unmod_spark
399,21.sql,tpch,16744536,nowrite,unmod_spark
400,15.sql,tpch,3079247,nowrite,unmod_spark
401,5.sql,tpch,11463065,nowrite,unmod_spark
402,10.sql,tpch,3406624,nowrite,unmod_spark
403,36.sql,tpch,1430700,nowrite,unmod_spark
404,35.sql,tpch,1402830,nowrite,unmod_spark
405,26.sql,tpch,358754,nowrite,unmod_spark
406,34.sql,tpch,511314,nowrite,unmod_spark
407,20.sql,tpch,2268842,nowrite,unmod_spark
408,4.sql,tpch,1625903,nowrite,unmod_spark
409,37.sql,tpch,1439146,nowrite,unmod_spark
410,22.sql,tpch,341803,nowrite,unmod_spark
411,16.sql,tpch,179166,nowrite,unmod_spark
412,21.sql,tpch,14724501,nowrite,unmod_spark
413,17.sql,tpch,10422355,nowrite,unmod_spark
414,15.sql,tpch,3084681,nowrite,unmod_spark
415,13.sql,tpch,1159042,nowrite,unmod_spark
416,22.sql,tpch,302250,nowrite,unmod_spark
417,19.sql,tpch,1898627,nowrite,unmod_spark
418,17.sql,tpch,9755655,nowrite,unmod_spark
419,15.sql,tpch,3083213,nowrite,unmod_spark
420,11.sql,tpch,337520,nowrite,unmod_spark
421,16.sql,tpch,188665,nowrite,unmod_spark
422,20.sql,tpch,2153604,nowrite,unmod_spark
423,16.sql,tpch,164140,nowrite,unmod_spark
424,19.sql,tpch,1921642,nowrite,unmod_spark
425,21.sql,tpch,14836916,nowrite,unmod_spark
426,6.sql,tpch,1073075,cols,unmod_spark
427,2.sql,tpch,1009263,cols,unmod_spark
428,1.sql,tpch,1249722,cols,unmod_spark
429,5.sql,tpch,9445656,cols,unmod_spark
430,3.sql,tpch,3527760,cols,unmod_spark
431,7.sql,tpch,4467670,cols,unmod_spark
432,4.sql,tpch,1891214,cols,unmod_spark
433,6.sql,tpch,1075405,cols,unmod_spark
434,2.sql,tpch,817691,cols,unmod_spark
435,1.sql,tpch,1248479,cols,unmod_spark
436,5.sql,tpch,10754467,cols,unmod_spark
437,3.sql,tpch,3660315,cols,unmod_spark
438,7.sql,tpch,4798388,cols,unmod_spark
439,4.sql,tpch,2257721,cols,unmod_spark
440,12.sql,tpch,1453375,cols,unmod_spark
441,11.sql,tpch,372024,cols,unmod_spark
442,9.sql,tpch,17726757,cols,unmod_spark
443,14.sql,tpch,1612279,cols,unmod_spark
444,13.sql,tpch,1323605,cols,unmod_spark
445,10.sql,tpch,3264032,cols,unmod_spark
446,23.sql,tpch,384961,cols,unmod_spark
447,25.sql,tpch,434460,cols,unmod_spark
448,27.sql,tpch,3238464,cols,unmod_spark
449,29.sql,tpch,3100187,cols,unmod_spark
450,28.sql,tpch,3297957,cols,unmod_spark
451,24.sql,tpch,366117,cols,unmod_spark
452,26.sql,tpch,354374,cols,unmod_spark
453,30.sql,tpch,3623642,cols,unmod_spark
454,37.sql,tpch,1444143,cols,unmod_spark
455,32.sql,tpch,426079,cols,unmod_spark
456,6.sql,tpch,1096410,cols,unmod_spark
457,2.sql,tpch,1115694,cols,unmod_spark
458,1.sql,tpch,1269216,cols,unmod_spark
459,5.sql,tpch,9782082,cols,unmod_spark
460,3.sql,tpch,3803871,cols,unmod_spark
461,7.sql,tpch,4433692,cols,unmod_spark
462,4.sql,tpch,1821447,cols,unmod_spark
463,12.sql,tpch,1406749,cols,unmod_spark
464,11.sql,tpch,447190,cols,unmod_spark
465,9.sql,tpch,17593113,cols,unmod_spark
466,14.sql,tpch,1693515,cols,unmod_spark
467,13.sql,tpch,1253341,cols,unmod_spark
468,10.sql,tpch,3095447,cols,unmod_spark
469,8.sql,tpch,12512368,cols,unmod_spark
470,23.sql,tpch,406804,cols,unmod_spark
471,25.sql,tpch,423794,cols,unmod_spark
472,27.sql,tpch,3051104,cols,unmod_spark
473,29.sql,tpch,3197411,cols,unmod_spark
474,28.sql,tpch,3270312,cols,unmod_spark
475,24.sql,tpch,369394,cols,unmod_spark
476,26.sql,tpch,380724,cols,unmod_spark
477,30.sql,tpch,2941582,cols,unmod_spark
478,37.sql,tpch,1420772,cols,unmod_spark
479,32.sql,tpch,427324,cols,unmod_spark
480,30.sql,tpch,3037667,cols,unmod_spark
481,25.sql,tpch,405534,cols,unmod_spark
482,34.sql,tpch,475070,cols,unmod_spark
483,31.sql,tpch,439620,cols,unmod_spark
484,35.sql,tpch,1428464,cols,unmod_spark
485,26.sql,tpch,376571,cols,unmod_spark
486,37.sql,tpch,1435811,cols,unmod_spark
487,21.sql,tpch,14588672,cols,unmod_spark
488,17.sql,tpch,10765741,cols,unmod_spark
489,11.sql,tpch,841509,cols,unmod_spark
490,9.sql,tpch,18940538,cols,unmod_spark
491,13.sql,tpch,1160968,cols,unmod_spark
492,15.sql,tpch,3079475,cols,unmod_spark
493,10.sql,tpch,3281900,cols,unmod_spark
494,28.sql,tpch,3529661,cols,unmod_spark
495,36.sql,tpch,1427240,cols,unmod_spark
496,16.sql,tpch,288665,cols,unmod_spark
497,19.sql,tpch,1930466,cols,unmod_spark
498,32.sql,tpch,477256,cols,unmod_spark
499,27.sql,tpch,3139801,cols,unmod_spark
500,29.sql,tpch,3567056,cols,unmod_spark
501,14.sql,tpch,1617657,cols,unmod_spark
502,20.sql,tpch,2214149,cols,unmod_spark
503,22.sql,tpch,313592,cols,unmod_spark
504,34.sql,tpch,456597,cols,unmod_spark
505,15.sql,tpch,3070830,cols,unmod_spark
506,22.sql,tpch,322047,cols,unmod_spark
507,36.sql,tpch,1415510,cols,unmod_spark
508,33.sql,tpch,496311,cols,unmod_spark
509,31.sql,tpch,468462,cols,unmod_spark
510,24.sql,tpch,419780,cols,unmod_spark
511,8.sql,tpch,11780230,cols,unmod_spark
512,21.sql,tpch,15619125,cols,unmod_spark
513,20.sql,tpch,2289217,cols,unmod_spark
514,19.sql,tpch,1934360,cols,unmod_spark
515,23.sql,tpch,405651,cols,unmod_spark
516,17.sql,tpch,10383396,cols,unmod_spark
517,16.sql,tpch,168408,cols,unmod_spark
518,31.sql,tpch,468826,cols,unmod_spark
519,36.sql,tpch,1422797,cols,unmod_spark
520,35.sql,tpch,1411352,cols,unmod_spark
521,34.sql,tpch,503070,cols,unmod_spark
522,22.sql,tpch,294723,cols,unmod_spark
523,8.sql,tpch,11293241,cols,unmod_spark
524,12.sql,tpch,1512299,cols,unmod_spark
525,33.sql,tpch,455796,cols,unmod_spark
526,19.sql,tpch,1924518,cols,unmod_spark
527,17.sql,tpch,9972188,cols,unmod_spark
528,15.sql,tpch,3063079,cols,unmod_spark
529,16.sql,tpch,253522,cols,unmod_spark
530,18.sql,tpch,9324590,cols,unmod_spark
531,21.sql,tpch,13783597,cols,unmod_spark
532,20.sql,tpch,2231021,cols,unmod_spark
533,35.sql,tpch,1428199,cols,unmod_spark
534,33.sql,tpch,431740,cols,unmod_spark
535,query17.sql,tpcds,1201264,vanilla,unmod_spark
536,query20.sql,tpcds,199498,vanilla,unmod_spark
537,query22.sql,tpcds,43534,vanilla,unmod_spark
538,query11.sql,tpcds,1426306,vanilla,unmod_spark
539,query5.sql,tpcds,1508205,vanilla,unmod_spark
540,query6.sql,tpcds,355153,vanilla,unmod_spark
541,query18.sql,tpcds,728739,vanilla,unmod_spark
542,query7.sql,tpcds,974976,vanilla,unmod_spark
543,query21.sql,tpcds,43914,vanilla,unmod_spark
544,query10.sql,tpcds,563068,vanilla,unmod_spark
545,query9.sql,tpcds,4385838,vanilla,unmod_spark
546,query16.sql,tpcds,657834,vanilla,unmod_spark
547,query26.sql,tpcds,460137,vanilla,unmod_spark
548,query25.sql,tpcds,1128303,vanilla,unmod_spark
549,query12.sql,tpcds,131974,vanilla,unmod_spark
550,query19.sql,tpcds,566670,vanilla,unmod_spark
