query,dataset,run_number,listener_register_time
query76.sql,tpcds,1,15.42
query77.sql,tpcds,1,17.35
query78.sql,tpcds,1,36.11
query79.sql,tpcds,1,14.39
query8.sql,tpcds,1,13.93
query80.sql,tpcds,1,36.25
query81.sql,tpcds,1,14.35
query82.sql,tpcds,1,16.06
query83.sql,tpcds,1,14.94
query84.sql,tpcds,1,14.17
query85.sql,tpcds,1,17.94
query86.sql,tpcds,1,13.77
query87.sql,tpcds,1,20.58
query88.sql,tpcds,1,16.92
query89.sql,tpcds,1,15.08
query9.sql,tpcds,1,15.31
query90.sql,tpcds,1,12.59
query91.sql,tpcds,1,13.32
query92.sql,tpcds,1,14.10
query93.sql,tpcds,1,24.77
query94.sql,tpcds,1,20.36
query95.sql,tpcds,1,26.75
query96.sql,tpcds,1,11.87
query97.sql,tpcds,1,19.57
query98.sql,tpcds,1,14.96
query99.sql,tpcds,1,13.94
1.sql,tpch,2,32.09
10.sql,tpch,2,21.96
11.sql,tpch,2,12.02
12.sql,tpch,2,17.93
13.sql,tpch,2,17.27
14.sql,tpch,2,14.36
15.sql,tpch,2,16.18
16.sql,tpch,2,17.50
17.sql,tpch,2,34.35
18.sql,tpch,2,34.50
19.sql,tpch,2,14.57
2.sql,tpch,2,16.24
20.sql,tpch,2,16.72
21.sql,tpch,2,34.78
22.sql,tpch,2,16.35
3.sql,tpch,2,19.55
4.sql,tpch,2,24.79
5.sql,tpch,2,28.39
6.sql,tpch,2,11.95
7.sql,tpch,2,29.75
8.sql,tpch,2,25.02
9.sql,tpch,2,31.83
query1.sql,tpcds,2,15.34
query10.sql,tpcds,2,16.34
query11.sql,tpcds,2,29.24
query12.sql,tpcds,2,14.35
query13.sql,tpcds,2,15.18
query14.sql,tpcds,2,8.22
query15.sql,tpcds,2,14.51
query16.sql,tpcds,2,16.31
query17.sql,tpcds,2,30.43
query18.sql,tpcds,2,15.70
query19.sql,tpcds,2,15.07
query2.sql,tpcds,2,14.69
query20.sql,tpcds,2,13.70
query21.sql,tpcds,2,13.99
query22.sql,tpcds,2,14.12
query23.sql,tpcds,2,8.24
query24.sql,tpcds,2,8.26
query25.sql,tpcds,2,28.46
query26.sql,tpcds,2,14.19
query27.sql,tpcds,2,15.08
query28.sql,tpcds,2,20.09
query29.sql,tpcds,2,29.30
query3.sql,tpcds,2,12.83
query30.sql,tpcds,2,8.58
query31.sql,tpcds,2,20.14
query32.sql,tpcds,2,13.82
query33.sql,tpcds,2,15.96
query34.sql,tpcds,2,14.25
query35.sql,tpcds,2,17.14
query36.sql,tpcds,2,14.58
query37.sql,tpcds,2,14.68
query38.sql,tpcds,2,19.62
query39.sql,tpcds,2,8.59
query4.sql,tpcds,2,37.21
query40.sql,tpcds,2,19.12
query41.sql,tpcds,2,10.11
query42.sql,tpcds,2,12.71
query43.sql,tpcds,2,13.03
query44.sql,tpcds,2,16.12
query45.sql,tpcds,2,13.70
query46.sql,tpcds,2,14.74
query47.sql,tpcds,2,18.16
query48.sql,tpcds,2,15.64
query49.sql,tpcds,2,19.96
query5.sql,tpcds,2,19.78
query50.sql,tpcds,2,21.93
query51.sql,tpcds,2,23.13
query52.sql,tpcds,2,13.12
query53.sql,tpcds,2,14.03
query54.sql,tpcds,2,18.12
query55.sql,tpcds,2,13.77
query56.sql,tpcds,2,16.84
query57.sql,tpcds,2,14.78
query58.sql,tpcds,2,16.23
query59.sql,tpcds,2,16.89
query6.sql,tpcds,2,22.28
query60.sql,tpcds,2,16.97
query61.sql,tpcds,2,10.55
query62.sql,tpcds,2,13.81
query63.sql,tpcds,2,14.06
query64.sql,tpcds,2,36.96
query65.sql,tpcds,2,19.57
query66.sql,tpcds,2,16.52
query67.sql,tpcds,2,8.13
query68.sql,tpcds,2,15.43
query69.sql,tpcds,2,11.86
query7.sql,tpcds,2,15.42
query70.sql,tpcds,2,15.78
query71.sql,tpcds,2,15.13
query72.sql,tpcds,2,37.70
query73.sql,tpcds,2,14.51
query74.sql,tpcds,2,26.60
query75.sql,tpcds,2,24.96
query76.sql,tpcds,2,14.72
query77.sql,tpcds,2,16.46
query78.sql,tpcds,2,36.66
query79.sql,tpcds,2,14.48
query8.sql,tpcds,2,14.29
query80.sql,tpcds,2,36.71
query81.sql,tpcds,2,14.54
query82.sql,tpcds,2,17.61
query83.sql,tpcds,2,14.77
query84.sql,tpcds,2,13.82
query85.sql,tpcds,2,18.29
query86.sql,tpcds,2,13.93
query87.sql,tpcds,2,19.76
query88.sql,tpcds,2,17.53
query89.sql,tpcds,2,14.38
query9.sql,tpcds,2,14.73
query90.sql,tpcds,2,12.88
query91.sql,tpcds,2,13.15
query92.sql,tpcds,2,14.70
query93.sql,tpcds,2,30.13
query94.sql,tpcds,2,19.25
query95.sql,tpcds,2,25.26
query96.sql,tpcds,2,12.22
query97.sql,tpcds,2,20.14
query98.sql,tpcds,2,15.29
query99.sql,tpcds,2,14.56
1.sql,tpch,3,30.98
10.sql,tpch,3,21.63
11.sql,tpch,3,11.97
12.sql,tpch,3,17.43
13.sql,tpch,3,19.88
14.sql,tpch,3,14.45
15.sql,tpch,3,16.57
16.sql,tpch,3,18.87
17.sql,tpch,3,33.61
18.sql,tpch,3,32.11
19.sql,tpch,3,14.54
2.sql,tpch,3,15.51
20.sql,tpch,3,16.78
21.sql,tpch,3,33.04
22.sql,tpch,3,15.76
3.sql,tpch,3,19.60
4.sql,tpch,3,25.68
5.sql,tpch,3,27.81
6.sql,tpch,3,11.95
7.sql,tpch,3,29.79
8.sql,tpch,3,25.10
9.sql,tpch,3,31.73
query1.sql,tpcds,3,14.95
query10.sql,tpcds,3,15.77
query11.sql,tpcds,3,29.09
query12.sql,tpcds,3,14.19
query13.sql,tpcds,3,14.81
query14.sql,tpcds,3,8.50
query15.sql,tpcds,3,14.48
query16.sql,tpcds,3,15.26
query17.sql,tpcds,3,30.49
query18.sql,tpcds,3,16.18
query19.sql,tpcds,3,14.70
query2.sql,tpcds,3,14.64
query20.sql,tpcds,3,14.08
query21.sql,tpcds,3,13.82
query22.sql,tpcds,3,14.42
query23.sql,tpcds,3,8.13
query24.sql,tpcds,3,8.16
query25.sql,tpcds,3,29.79
query26.sql,tpcds,3,14.29
query27.sql,tpcds,3,15.41
query28.sql,tpcds,3,19.86
query29.sql,tpcds,3,30.42
query3.sql,tpcds,3,12.58
query30.sql,tpcds,3,8.80
query31.sql,tpcds,3,20.52
query32.sql,tpcds,3,13.89
query33.sql,tpcds,3,16.29
query34.sql,tpcds,3,14.01
query35.sql,tpcds,3,17.31
query36.sql,tpcds,3,14.28
query37.sql,tpcds,3,15.67
query38.sql,tpcds,3,19.89
query39.sql,tpcds,3,8.43
query4.sql,tpcds,3,38.69
query40.sql,tpcds,3,19.02
query41.sql,tpcds,3,10.29
query42.sql,tpcds,3,12.83
query43.sql,tpcds,3,12.93
query44.sql,tpcds,3,15.72
query45.sql,tpcds,3,13.89
query46.sql,tpcds,3,15.29
query47.sql,tpcds,3,19.32
query48.sql,tpcds,3,14.29
query49.sql,tpcds,3,19.49
query5.sql,tpcds,3,19.68
query50.sql,tpcds,3,22.31
query51.sql,tpcds,3,23.22
query52.sql,tpcds,3,13.01
query53.sql,tpcds,3,14.16
query54.sql,tpcds,3,18.11
query55.sql,tpcds,3,13.72
query56.sql,tpcds,3,15.80
query57.sql,tpcds,3,14.86
query58.sql,tpcds,3,16.12
query59.sql,tpcds,3,15.64
query6.sql,tpcds,3,20.16
query60.sql,tpcds,3,15.99
query61.sql,tpcds,3,11.09
query62.sql,tpcds,3,14.21
query63.sql,tpcds,3,13.82
query64.sql,tpcds,3,37.24
query65.sql,tpcds,3,18.06
query66.sql,tpcds,3,16.93
query67.sql,tpcds,3,8.09
query68.sql,tpcds,3,16.39
query69.sql,tpcds,3,12.40
query7.sql,tpcds,3,16.04
query70.sql,tpcds,3,15.64
query71.sql,tpcds,3,14.71
query72.sql,tpcds,3,36.37
query73.sql,tpcds,3,14.68
query74.sql,tpcds,3,26.54
query75.sql,tpcds,3,24.92
query76.sql,tpcds,3,15.57
query77.sql,tpcds,3,17.32
query78.sql,tpcds,3,36.68
query79.sql,tpcds,3,14.38
query8.sql,tpcds,3,14.49
query80.sql,tpcds,3,34.91
query81.sql,tpcds,3,14.87
query82.sql,tpcds,3,16.34
query83.sql,tpcds,3,14.73
query84.sql,tpcds,3,14.83
query85.sql,tpcds,3,18.24
query86.sql,tpcds,3,13.96
query87.sql,tpcds,3,20.71
query88.sql,tpcds,3,17.68
query89.sql,tpcds,3,14.56
query9.sql,tpcds,3,15.23
query90.sql,tpcds,3,12.71
query91.sql,tpcds,3,12.49
query92.sql,tpcds,3,14.60
query93.sql,tpcds,3,31.24
query94.sql,tpcds,3,19.78
query95.sql,tpcds,3,26.62
query96.sql,tpcds,3,11.81
query97.sql,tpcds,3,18.99
query98.sql,tpcds,3,14.42
query99.sql,tpcds,3,14.61
1.sql,tpch,4,31.20
10.sql,tpch,4,20.77
11.sql,tpch,4,12.28
12.sql,tpch,4,19.35
13.sql,tpch,4,20.06
14.sql,tpch,4,14.29
15.sql,tpch,4,17.41
16.sql,tpch,4,18.36
17.sql,tpch,4,32.97
18.sql,tpch,4,33.19
19.sql,tpch,4,14.65
2.sql,tpch,4,15.64
20.sql,tpch,4,16.70
21.sql,tpch,4,33.58
22.sql,tpch,4,16.12
3.sql,tpch,4,20.16
4.sql,tpch,4,24.54
5.sql,tpch,4,30.88
6.sql,tpch,4,11.57
7.sql,tpch,4,28.64
8.sql,tpch,4,25.28
9.sql,tpch,4,30.84
query1.sql,tpcds,4,15.20
query10.sql,tpcds,4,16.08
query11.sql,tpcds,4,27.88
query12.sql,tpcds,4,14.14
query13.sql,tpcds,4,13.93
query14.sql,tpcds,4,8.16
query15.sql,tpcds,4,14.51
query16.sql,tpcds,4,15.79
query17.sql,tpcds,4,29.23
query18.sql,tpcds,4,15.56
query19.sql,tpcds,4,13.98
query2.sql,tpcds,4,14.36
query20.sql,tpcds,4,14.46
query21.sql,tpcds,4,13.56
query22.sql,tpcds,4,14.44
query23.sql,tpcds,4,8.14
query24.sql,tpcds,4,8.34
query25.sql,tpcds,4,29.22
query26.sql,tpcds,4,14.64
query27.sql,tpcds,4,15.48
query28.sql,tpcds,4,19.59
query29.sql,tpcds,4,29.36
query3.sql,tpcds,4,13.42
query30.sql,tpcds,4,8.43
query31.sql,tpcds,4,19.08
query32.sql,tpcds,4,13.95
query33.sql,tpcds,4,16.99
query34.sql,tpcds,4,14.83
query35.sql,tpcds,4,16.41
query36.sql,tpcds,4,14.31
query37.sql,tpcds,4,15.76
query38.sql,tpcds,4,20.53
query39.sql,tpcds,4,8.30
query4.sql,tpcds,4,38.15
query40.sql,tpcds,4,19.87
query41.sql,tpcds,4,10.12
query42.sql,tpcds,4,13.30
query43.sql,tpcds,4,13.19
query44.sql,tpcds,4,15.40
query45.sql,tpcds,4,13.11
query46.sql,tpcds,4,15.19
query47.sql,tpcds,4,19.17
query48.sql,tpcds,4,15.49
query49.sql,tpcds,4,20.97
query5.sql,tpcds,4,19.48
query50.sql,tpcds,4,25.81
query51.sql,tpcds,4,23.09
query52.sql,tpcds,4,12.75
query53.sql,tpcds,4,13.75
query54.sql,tpcds,4,17.96
query55.sql,tpcds,4,13.57
query56.sql,tpcds,4,15.70
query57.sql,tpcds,4,14.58
query58.sql,tpcds,4,16.07
query59.sql,tpcds,4,15.73
query6.sql,tpcds,4,22.64
query60.sql,tpcds,4,16.50
query61.sql,tpcds,4,10.32
query62.sql,tpcds,4,14.31
query63.sql,tpcds,4,14.75
query64.sql,tpcds,4,38.33
query65.sql,tpcds,4,18.16
query66.sql,tpcds,4,16.52
query67.sql,tpcds,4,7.86
query68.sql,tpcds,4,15.05
query69.sql,tpcds,4,11.66
query7.sql,tpcds,4,16.07
query70.sql,tpcds,4,15.13
query71.sql,tpcds,4,15.04
query72.sql,tpcds,4,37.50
query73.sql,tpcds,4,14.07
query74.sql,tpcds,4,27.79
query75.sql,tpcds,4,25.88
query76.sql,tpcds,4,14.79
query77.sql,tpcds,4,16.75
query78.sql,tpcds,4,35.63
query79.sql,tpcds,4,14.79
query8.sql,tpcds,4,14.34
query80.sql,tpcds,4,36.05
query81.sql,tpcds,4,14.92
query82.sql,tpcds,4,16.56
query83.sql,tpcds,4,14.37
query84.sql,tpcds,4,14.27
query85.sql,tpcds,4,17.61
query86.sql,tpcds,4,13.50
query87.sql,tpcds,4,20.25
query88.sql,tpcds,4,17.02
query89.sql,tpcds,4,14.40
query9.sql,tpcds,4,14.66
query90.sql,tpcds,4,12.78
query91.sql,tpcds,4,12.35
query92.sql,tpcds,4,14.03
query93.sql,tpcds,4,25.19
query94.sql,tpcds,4,21.13
query95.sql,tpcds,4,25.90
query96.sql,tpcds,4,12.23
query97.sql,tpcds,4,20.90
query98.sql,tpcds,4,14.24
query99.sql,tpcds,4,13.16
1.sql,tpch,5,31.66
10.sql,tpch,5,21.63
11.sql,tpch,5,12.62
12.sql,tpch,5,16.68
13.sql,tpch,5,17.63
14.sql,tpch,5,14.72
15.sql,tpch,5,17.88
16.sql,tpch,5,17.68
17.sql,tpch,5,34.71
18.sql,tpch,5,33.04
19.sql,tpch,5,15.44
2.sql,tpch,5,15.84
20.sql,tpch,5,16.61
21.sql,tpch,5,33.43
22.sql,tpch,5,16.27
3.sql,tpch,5,19.26
4.sql,tpch,5,25.58
5.sql,tpch,5,29.01
6.sql,tpch,5,12.21
7.sql,tpch,5,29.22
8.sql,tpch,5,24.16
9.sql,tpch,5,33.08
query1.sql,tpcds,5,15.49
query10.sql,tpcds,5,16.20
query11.sql,tpcds,5,28.35
query12.sql,tpcds,5,13.65
query13.sql,tpcds,5,14.10
query14.sql,tpcds,5,8.46
query15.sql,tpcds,5,14.65
query16.sql,tpcds,5,16.20
query17.sql,tpcds,5,29.54
query18.sql,tpcds,5,15.46
query19.sql,tpcds,5,14.06
query2.sql,tpcds,5,15.60
query20.sql,tpcds,5,14.03
query21.sql,tpcds,5,13.38
query22.sql,tpcds,5,13.70
query23.sql,tpcds,5,8.42
query24.sql,tpcds,5,8.45
query25.sql,tpcds,5,29.50
query26.sql,tpcds,5,13.91
query27.sql,tpcds,5,15.02
query28.sql,tpcds,5,20.25
query29.sql,tpcds,5,29.59
query3.sql,tpcds,5,13.52
query30.sql,tpcds,5,8.68
query31.sql,tpcds,5,18.43
query32.sql,tpcds,5,14.21
query33.sql,tpcds,5,16.45
query34.sql,tpcds,5,14.23
query35.sql,tpcds,5,17.32
query36.sql,tpcds,5,14.35
query37.sql,tpcds,5,15.33
query38.sql,tpcds,5,19.68
query39.sql,tpcds,5,8.50
query4.sql,tpcds,5,38.46
query40.sql,tpcds,5,19.59
query41.sql,tpcds,5,10.58
query42.sql,tpcds,5,13.03
query43.sql,tpcds,5,13.22
query44.sql,tpcds,5,15.33
query45.sql,tpcds,5,13.80
query46.sql,tpcds,5,15.06
query47.sql,tpcds,5,19.55
query48.sql,tpcds,5,14.86
query49.sql,tpcds,5,20.39
query5.sql,tpcds,5,19.89
query50.sql,tpcds,5,23.74
query51.sql,tpcds,5,24.20
query52.sql,tpcds,5,12.94
query53.sql,tpcds,5,13.44
query54.sql,tpcds,5,18.20
query55.sql,tpcds,5,13.66
query56.sql,tpcds,5,16.27
query57.sql,tpcds,5,14.33
query58.sql,tpcds,5,16.92
query59.sql,tpcds,5,16.59
query6.sql,tpcds,5,23.58
query60.sql,tpcds,5,16.57
query61.sql,tpcds,5,10.40
query62.sql,tpcds,5,14.61
query63.sql,tpcds,5,13.34
query64.sql,tpcds,5,36.88
query65.sql,tpcds,5,18.29
query66.sql,tpcds,5,16.11
query67.sql,tpcds,5,8.64
query68.sql,tpcds,5,15.38
query69.sql,tpcds,5,12.19
query7.sql,tpcds,5,15.78
query70.sql,tpcds,5,15.79
query71.sql,tpcds,5,15.11
query72.sql,tpcds,5,35.61
query73.sql,tpcds,5,14.54
query74.sql,tpcds,5,27.88
query75.sql,tpcds,5,25.76
query76.sql,tpcds,5,15.30
query77.sql,tpcds,5,17.52
query78.sql,tpcds,5,36.54
query79.sql,tpcds,5,14.64
query8.sql,tpcds,5,13.86
query80.sql,tpcds,5,36.73
query81.sql,tpcds,5,14.78
query82.sql,tpcds,5,16.45
query83.sql,tpcds,5,14.34
query84.sql,tpcds,5,14.00
query85.sql,tpcds,5,17.25
query86.sql,tpcds,5,13.28
query87.sql,tpcds,5,20.97
query88.sql,tpcds,5,17.02
query89.sql,tpcds,5,15.06
query9.sql,tpcds,5,15.28
query90.sql,tpcds,5,12.40
query91.sql,tpcds,5,12.86
query92.sql,tpcds,5,14.83
query93.sql,tpcds,5,26.29
query94.sql,tpcds,5,19.13
query95.sql,tpcds,5,26.20
query96.sql,tpcds,5,11.56
query97.sql,tpcds,5,19.77
query98.sql,tpcds,5,14.70
query99.sql,tpcds,5,13.51
1.sql,tpch,6,30.43
10.sql,tpch,6,23.38
11.sql,tpch,6,12.35
12.sql,tpch,6,17.20
13.sql,tpch,6,18.54
14.sql,tpch,6,13.91
15.sql,tpch,6,16.90
16.sql,tpch,6,18.65
17.sql,tpch,6,34.18
18.sql,tpch,6,33.28
19.sql,tpch,6,15.01
2.sql,tpch,6,15.92
20.sql,tpch,6,16.73
21.sql,tpch,6,32.45
22.sql,tpch,6,15.15
3.sql,tpch,6,20.18
4.sql,tpch,6,20.77
5.sql,tpch,6,26.51
6.sql,tpch,6,12.09
7.sql,tpch,6,28.95
8.sql,tpch,6,23.90
9.sql,tpch,6,30.64
query1.sql,tpcds,6,14.89
query10.sql,tpcds,6,16.32
query11.sql,tpcds,6,28.38
query12.sql,tpcds,6,13.99
query13.sql,tpcds,6,13.49
query14.sql,tpcds,6,8.32
query15.sql,tpcds,6,14.85
query16.sql,tpcds,6,15.83
query17.sql,tpcds,6,29.20
query18.sql,tpcds,6,15.65
query19.sql,tpcds,6,14.57
query2.sql,tpcds,6,14.51
query20.sql,tpcds,6,13.11
query21.sql,tpcds,6,12.95
query22.sql,tpcds,6,14.18
query23.sql,tpcds,6,8.24
query24.sql,tpcds,6,8.29
query25.sql,tpcds,6,29.89
query26.sql,tpcds,6,14.29
query27.sql,tpcds,6,15.53
query28.sql,tpcds,6,19.97
query29.sql,tpcds,6,28.78
query3.sql,tpcds,6,13.34
query30.sql,tpcds,6,8.45
query31.sql,tpcds,6,19.85
query32.sql,tpcds,6,14.26
query33.sql,tpcds,6,16.11
query34.sql,tpcds,6,14.77
query35.sql,tpcds,6,17.14
query36.sql,tpcds,6,14.34
query37.sql,tpcds,6,15.22
query38.sql,tpcds,6,20.83
query39.sql,tpcds,6,8.55
query4.sql,tpcds,6,37.60
query40.sql,tpcds,6,19.63
query41.sql,tpcds,6,10.26
query42.sql,tpcds,6,12.62
query43.sql,tpcds,6,12.92
query44.sql,tpcds,6,15.27
query45.sql,tpcds,6,14.10
query46.sql,tpcds,6,14.76
query47.sql,tpcds,6,19.61
query48.sql,tpcds,6,15.50
query49.sql,tpcds,6,20.85
query5.sql,tpcds,6,20.25
query50.sql,tpcds,6,24.96
query51.sql,tpcds,6,23.29
query52.sql,tpcds,6,13.57
query53.sql,tpcds,6,14.36
query54.sql,tpcds,6,17.47
query55.sql,tpcds,6,14.29
query56.sql,tpcds,6,16.70
query57.sql,tpcds,6,14.75
query58.sql,tpcds,6,16.56
query59.sql,tpcds,6,16.38
query6.sql,tpcds,6,23.55
query60.sql,tpcds,6,17.08
query61.sql,tpcds,6,10.66
query62.sql,tpcds,6,14.59
query63.sql,tpcds,6,14.45
query64.sql,tpcds,6,37.42
query65.sql,tpcds,6,18.06
query66.sql,tpcds,6,16.18
query67.sql,tpcds,6,8.16
query68.sql,tpcds,6,14.95
query69.sql,tpcds,6,11.27
query7.sql,tpcds,6,15.69
query70.sql,tpcds,6,15.53
query71.sql,tpcds,6,15.11
query72.sql,tpcds,6,36.46
query73.sql,tpcds,6,13.84
query74.sql,tpcds,6,27.34
query75.sql,tpcds,6,25.09
query76.sql,tpcds,6,15.02
query77.sql,tpcds,6,16.87
query78.sql,tpcds,6,36.56
query79.sql,tpcds,6,14.54
query8.sql,tpcds,6,14.41
query80.sql,tpcds,6,35.38
query81.sql,tpcds,6,14.84
query82.sql,tpcds,6,16.32
query83.sql,tpcds,6,15.01
query84.sql,tpcds,6,13.75
query85.sql,tpcds,6,18.06
query86.sql,tpcds,6,13.65
query87.sql,tpcds,6,19.58
query88.sql,tpcds,6,16.96
query89.sql,tpcds,6,14.68
query9.sql,tpcds,6,15.79
query90.sql,tpcds,6,13.06
query91.sql,tpcds,6,12.97
query92.sql,tpcds,6,14.76
query93.sql,tpcds,6,26.47
query94.sql,tpcds,6,19.23
query95.sql,tpcds,6,25.24
query96.sql,tpcds,6,11.87
query97.sql,tpcds,6,20.74
query98.sql,tpcds,6,14.51
query99.sql,tpcds,6,13.62
1.sql,tpch,7,32.17
10.sql,tpch,7,22.18
11.sql,tpch,7,12.01
12.sql,tpch,7,17.79
13.sql,tpch,7,18.22
14.sql,tpch,7,14.79
15.sql,tpch,7,16.79
16.sql,tpch,7,17.50
17.sql,tpch,7,34.57
18.sql,tpch,7,33.43
19.sql,tpch,7,14.95
2.sql,tpch,7,15.66
20.sql,tpch,7,16.87
21.sql,tpch,7,33.08
22.sql,tpch,7,16.54
3.sql,tpch,7,20.50
4.sql,tpch,7,24.91
5.sql,tpch,7,30.90
6.sql,tpch,7,11.47
7.sql,tpch,7,29.05
8.sql,tpch,7,25.25
9.sql,tpch,7,31.69
query1.sql,tpcds,7,15.69
query10.sql,tpcds,7,15.96
query11.sql,tpcds,7,28.53
query12.sql,tpcds,7,14.53
query13.sql,tpcds,7,13.41
query14.sql,tpcds,7,8.20
query15.sql,tpcds,7,15.08
query16.sql,tpcds,7,15.89
query17.sql,tpcds,7,29.90
query18.sql,tpcds,7,15.62
query19.sql,tpcds,7,15.33
query2.sql,tpcds,7,14.80
query20.sql,tpcds,7,13.44
query21.sql,tpcds,7,13.44
query22.sql,tpcds,7,14.44
query23.sql,tpcds,7,8.13
query24.sql,tpcds,7,8.30
query25.sql,tpcds,7,30.20
query26.sql,tpcds,7,14.17
query27.sql,tpcds,7,15.13
query28.sql,tpcds,7,20.32
query29.sql,tpcds,7,29.70
query3.sql,tpcds,7,12.84
query30.sql,tpcds,7,8.48
query31.sql,tpcds,7,19.90
query32.sql,tpcds,7,13.97
query33.sql,tpcds,7,15.99
query34.sql,tpcds,7,14.31
query35.sql,tpcds,7,17.40
query36.sql,tpcds,7,14.05
query37.sql,tpcds,7,15.44
query38.sql,tpcds,7,20.51
query39.sql,tpcds,7,8.43
query4.sql,tpcds,7,39.39
query40.sql,tpcds,7,20.26
query41.sql,tpcds,7,10.30
query42.sql,tpcds,7,12.84
query43.sql,tpcds,7,13.39
query44.sql,tpcds,7,14.97
query45.sql,tpcds,7,13.84
query46.sql,tpcds,7,14.73
query47.sql,tpcds,7,18.99
query48.sql,tpcds,7,15.39
query49.sql,tpcds,7,20.38
query5.sql,tpcds,7,19.11
query50.sql,tpcds,7,23.52
query51.sql,tpcds,7,23.83
query52.sql,tpcds,7,13.53
query53.sql,tpcds,7,13.72
query54.sql,tpcds,7,18.44
query55.sql,tpcds,7,13.45
query56.sql,tpcds,7,15.77
query57.sql,tpcds,7,15.56
query58.sql,tpcds,7,16.99
query59.sql,tpcds,7,15.87
query6.sql,tpcds,7,23.60
query60.sql,tpcds,7,16.98
query61.sql,tpcds,7,10.64
query62.sql,tpcds,7,13.89
query63.sql,tpcds,7,14.22
query64.sql,tpcds,7,37.06
query65.sql,tpcds,7,18.04
query66.sql,tpcds,7,16.31
query67.sql,tpcds,7,7.96
query68.sql,tpcds,7,15.20
query69.sql,tpcds,7,11.54
query7.sql,tpcds,7,14.74
query70.sql,tpcds,7,15.25
query71.sql,tpcds,7,14.86
query72.sql,tpcds,7,36.64
query73.sql,tpcds,7,13.88
query74.sql,tpcds,7,27.99
query75.sql,tpcds,7,26.51
query76.sql,tpcds,7,14.87
query77.sql,tpcds,7,16.30
query78.sql,tpcds,7,36.70
query79.sql,tpcds,7,14.54
query8.sql,tpcds,7,14.06
query80.sql,tpcds,7,35.73
query81.sql,tpcds,7,15.36
query82.sql,tpcds,7,16.55
query83.sql,tpcds,7,14.73
query84.sql,tpcds,7,13.90
query85.sql,tpcds,7,17.91
query86.sql,tpcds,7,14.17
query87.sql,tpcds,7,21.02
query88.sql,tpcds,7,17.95
query89.sql,tpcds,7,14.92
query9.sql,tpcds,7,14.88
query90.sql,tpcds,7,12.51
query91.sql,tpcds,7,13.12
