query,dataset,run_number,listener_bare_time
query53.sql,tpcds,1,14.32
query54.sql,tpcds,1,17.94
query55.sql,tpcds,1,13.33
query56.sql,tpcds,1,15.28
query57.sql,tpcds,1,15.04
query58.sql,tpcds,1,17.39
query59.sql,tpcds,1,16.04
query6.sql,tpcds,1,22.60
query60.sql,tpcds,1,16.41
query61.sql,tpcds,1,10.60
query62.sql,tpcds,1,13.85
query63.sql,tpcds,1,14.04
query64.sql,tpcds,1,38.05
query65.sql,tpcds,1,18.65
query66.sql,tpcds,1,15.61
query67.sql,tpcds,1,8.37
query68.sql,tpcds,1,14.93
query69.sql,tpcds,1,11.74
query7.sql,tpcds,1,16.09
query70.sql,tpcds,1,15.21
query71.sql,tpcds,1,14.62
query72.sql,tpcds,1,37.62
query73.sql,tpcds,1,14.77
query74.sql,tpcds,1,26.57
query75.sql,tpcds,1,25.43
query76.sql,tpcds,1,14.90
query77.sql,tpcds,1,17.18
query78.sql,tpcds,1,36.64
query79.sql,tpcds,1,14.15
query8.sql,tpcds,1,13.90
query80.sql,tpcds,1,35.13
query81.sql,tpcds,1,15.52
query82.sql,tpcds,1,16.23
query83.sql,tpcds,1,14.65
query84.sql,tpcds,1,13.57
query85.sql,tpcds,1,17.12
query86.sql,tpcds,1,13.72
query87.sql,tpcds,1,20.16
query88.sql,tpcds,1,16.30
query89.sql,tpcds,1,14.48
query9.sql,tpcds,1,15.41
query90.sql,tpcds,1,12.80
query91.sql,tpcds,1,13.32
query92.sql,tpcds,1,14.38
query93.sql,tpcds,1,25.23
query94.sql,tpcds,1,18.97
query95.sql,tpcds,1,26.01
query96.sql,tpcds,1,11.93
query97.sql,tpcds,1,21.28
query98.sql,tpcds,1,14.89
query99.sql,tpcds,1,14.09
1.sql,tpch,2,31.07
10.sql,tpch,2,21.94
11.sql,tpch,2,12.04
12.sql,tpch,2,17.95
13.sql,tpch,2,18.90
14.sql,tpch,2,14.42
15.sql,tpch,2,16.29
16.sql,tpch,2,18.38
17.sql,tpch,2,34.86
18.sql,tpch,2,33.02
19.sql,tpch,2,14.66
2.sql,tpch,2,16.27
20.sql,tpch,2,16.98
21.sql,tpch,2,33.13
22.sql,tpch,2,15.50
3.sql,tpch,2,21.52
4.sql,tpch,2,26.80
5.sql,tpch,2,29.75
6.sql,tpch,2,11.63
7.sql,tpch,2,30.04
8.sql,tpch,2,24.11
9.sql,tpch,2,30.43
query1.sql,tpcds,2,15.13
query10.sql,tpcds,2,15.71
query11.sql,tpcds,2,28.55
query12.sql,tpcds,2,13.70
query13.sql,tpcds,2,14.50
query14.sql,tpcds,2,8.39
query15.sql,tpcds,2,14.44
query16.sql,tpcds,2,15.60
query17.sql,tpcds,2,29.64
query18.sql,tpcds,2,15.58
query19.sql,tpcds,2,14.78
query2.sql,tpcds,2,14.83
query20.sql,tpcds,2,13.64
query21.sql,tpcds,2,14.07
query22.sql,tpcds,2,14.51
query23.sql,tpcds,2,9.04
query24.sql,tpcds,2,8.49
query25.sql,tpcds,2,29.02
query26.sql,tpcds,2,13.81
query27.sql,tpcds,2,14.82
query28.sql,tpcds,2,19.62
query29.sql,tpcds,2,30.12
query3.sql,tpcds,2,12.74
query30.sql,tpcds,2,8.30
query31.sql,tpcds,2,20.60
query32.sql,tpcds,2,13.51
query33.sql,tpcds,2,16.59
query34.sql,tpcds,2,14.20
query35.sql,tpcds,2,17.97
query36.sql,tpcds,2,14.13
query37.sql,tpcds,2,15.53
query38.sql,tpcds,2,19.88
query39.sql,tpcds,2,8.01
query4.sql,tpcds,2,37.02
query40.sql,tpcds,2,19.17
query41.sql,tpcds,2,10.05
query42.sql,tpcds,2,12.44
query43.sql,tpcds,2,12.84
query44.sql,tpcds,2,15.05
query45.sql,tpcds,2,13.70
query46.sql,tpcds,2,14.79
query47.sql,tpcds,2,18.91
query48.sql,tpcds,2,14.82
query49.sql,tpcds,2,21.01
query5.sql,tpcds,2,20.16
query50.sql,tpcds,2,23.09
query51.sql,tpcds,2,23.51
query52.sql,tpcds,2,13.47
query53.sql,tpcds,2,14.11
query54.sql,tpcds,2,17.68
query55.sql,tpcds,2,12.89
query56.sql,tpcds,2,15.76
query57.sql,tpcds,2,15.37
query58.sql,tpcds,2,16.86
query59.sql,tpcds,2,16.51
query6.sql,tpcds,2,21.93
query60.sql,tpcds,2,16.83
query61.sql,tpcds,2,10.92
query62.sql,tpcds,2,13.87
query63.sql,tpcds,2,13.92
query64.sql,tpcds,2,37.84
query65.sql,tpcds,2,18.37
query66.sql,tpcds,2,16.62
query67.sql,tpcds,2,8.12
query68.sql,tpcds,2,15.42
query69.sql,tpcds,2,11.69
query7.sql,tpcds,2,15.62
query70.sql,tpcds,2,15.39
query71.sql,tpcds,2,15.15
query72.sql,tpcds,2,35.83
query73.sql,tpcds,2,14.34
query74.sql,tpcds,2,27.50
query75.sql,tpcds,2,25.10
query76.sql,tpcds,2,14.69
query77.sql,tpcds,2,16.80
query78.sql,tpcds,2,36.74
query79.sql,tpcds,2,14.52
query8.sql,tpcds,2,14.21
query80.sql,tpcds,2,35.83
query81.sql,tpcds,2,14.92
query82.sql,tpcds,2,16.39
query83.sql,tpcds,2,14.81
query84.sql,tpcds,2,14.02
query85.sql,tpcds,2,17.84
query86.sql,tpcds,2,14.09
query87.sql,tpcds,2,19.72
query88.sql,tpcds,2,18.14
query89.sql,tpcds,2,14.79
query9.sql,tpcds,2,15.47
query90.sql,tpcds,2,12.62
query91.sql,tpcds,2,12.47
query92.sql,tpcds,2,14.49
query93.sql,tpcds,2,28.08
query94.sql,tpcds,2,19.67
query95.sql,tpcds,2,26.56
query96.sql,tpcds,2,11.59
query97.sql,tpcds,2,20.49
query98.sql,tpcds,2,15.07
query99.sql,tpcds,2,13.55
1.sql,tpch,3,32.86
10.sql,tpch,3,19.97
11.sql,tpch,3,12.44
12.sql,tpch,3,19.37
13.sql,tpch,3,18.07
14.sql,tpch,3,14.52
15.sql,tpch,3,16.54
16.sql,tpch,3,17.33
17.sql,tpch,3,33.28
18.sql,tpch,3,32.15
19.sql,tpch,3,14.60
2.sql,tpch,3,15.89
20.sql,tpch,3,16.71
21.sql,tpch,3,33.24
22.sql,tpch,3,15.91
3.sql,tpch,3,21.62
4.sql,tpch,3,19.07
5.sql,tpch,3,30.54
6.sql,tpch,3,12.12
7.sql,tpch,3,29.73
8.sql,tpch,3,23.94
9.sql,tpch,3,30.07
query1.sql,tpcds,3,15.22
query10.sql,tpcds,3,15.84
query11.sql,tpcds,3,28.48
query12.sql,tpcds,3,14.23
query13.sql,tpcds,3,15.19
query14.sql,tpcds,3,8.41
query15.sql,tpcds,3,13.93
query16.sql,tpcds,3,15.78
query17.sql,tpcds,3,30.63
query18.sql,tpcds,3,16.06
query19.sql,tpcds,3,15.45
query2.sql,tpcds,3,14.99
query20.sql,tpcds,3,13.54
query21.sql,tpcds,3,12.61
query22.sql,tpcds,3,14.71
query23.sql,tpcds,3,8.32
query24.sql,tpcds,3,7.94
query25.sql,tpcds,3,29.25
query26.sql,tpcds,3,14.48
query27.sql,tpcds,3,14.69
query28.sql,tpcds,3,19.06
query29.sql,tpcds,3,28.92
query3.sql,tpcds,3,12.35
query30.sql,tpcds,3,8.61
query31.sql,tpcds,3,19.71
query32.sql,tpcds,3,14.37
query33.sql,tpcds,3,16.40
query34.sql,tpcds,3,15.65
query35.sql,tpcds,3,17.10
query36.sql,tpcds,3,15.20
query37.sql,tpcds,3,15.18
query38.sql,tpcds,3,20.50
query39.sql,tpcds,3,8.45
query4.sql,tpcds,3,37.30
query40.sql,tpcds,3,19.06
query41.sql,tpcds,3,9.83
query42.sql,tpcds,3,12.85
query43.sql,tpcds,3,13.18
query44.sql,tpcds,3,14.80
query45.sql,tpcds,3,13.83
query46.sql,tpcds,3,14.75
query47.sql,tpcds,3,18.71
query48.sql,tpcds,3,15.84
query49.sql,tpcds,3,20.53
query5.sql,tpcds,3,19.37
query50.sql,tpcds,3,22.14
query51.sql,tpcds,3,23.83
query52.sql,tpcds,3,12.83
query53.sql,tpcds,3,14.02
query54.sql,tpcds,3,17.63
query55.sql,tpcds,3,14.20
query56.sql,tpcds,3,15.93
query57.sql,tpcds,3,14.67
query58.sql,tpcds,3,17.73
query59.sql,tpcds,3,15.32
query6.sql,tpcds,3,23.27
query60.sql,tpcds,3,16.82
query61.sql,tpcds,3,10.66
query62.sql,tpcds,3,14.20
query63.sql,tpcds,3,13.63
query64.sql,tpcds,3,36.40
query65.sql,tpcds,3,17.82
query66.sql,tpcds,3,16.88
query67.sql,tpcds,3,8.57
query68.sql,tpcds,3,14.72
query69.sql,tpcds,3,11.90
query7.sql,tpcds,3,15.84
query70.sql,tpcds,3,15.94
query71.sql,tpcds,3,14.74
query72.sql,tpcds,3,35.71
query73.sql,tpcds,3,13.91
query74.sql,tpcds,3,27.10
query75.sql,tpcds,3,24.86
query76.sql,tpcds,3,14.63
query77.sql,tpcds,3,16.29
query78.sql,tpcds,3,35.72
query79.sql,tpcds,3,14.80
query8.sql,tpcds,3,14.16
query80.sql,tpcds,3,36.11
query81.sql,tpcds,3,15.39
query82.sql,tpcds,3,16.59
query83.sql,tpcds,3,15.52
query84.sql,tpcds,3,13.97
query85.sql,tpcds,3,17.93
query86.sql,tpcds,3,13.33
query87.sql,tpcds,3,20.05
query88.sql,tpcds,3,17.94
query89.sql,tpcds,3,14.26
query9.sql,tpcds,3,15.30
query90.sql,tpcds,3,12.39
query91.sql,tpcds,3,13.34
query92.sql,tpcds,3,14.26
query93.sql,tpcds,3,26.00
query94.sql,tpcds,3,20.99
query95.sql,tpcds,3,25.95
query96.sql,tpcds,3,11.58
query97.sql,tpcds,3,20.57
query98.sql,tpcds,3,15.42
query99.sql,tpcds,3,14.55
1.sql,tpch,4,30.70
10.sql,tpch,4,21.97
11.sql,tpch,4,12.11
12.sql,tpch,4,19.10
13.sql,tpch,4,18.05
14.sql,tpch,4,15.37
15.sql,tpch,4,16.29
16.sql,tpch,4,18.04
17.sql,tpch,4,34.05
18.sql,tpch,4,35.82
19.sql,tpch,4,14.97
2.sql,tpch,4,15.44
20.sql,tpch,4,16.95
21.sql,tpch,4,32.88
22.sql,tpch,4,16.38
3.sql,tpch,4,21.81
4.sql,tpch,4,22.46
5.sql,tpch,4,29.55
6.sql,tpch,4,11.64
7.sql,tpch,4,30.83
8.sql,tpch,4,22.93
9.sql,tpch,4,31.39
query1.sql,tpcds,4,15.65
query10.sql,tpcds,4,15.78
query11.sql,tpcds,4,29.94
query12.sql,tpcds,4,13.86
query13.sql,tpcds,4,13.72
query14.sql,tpcds,4,8.58
query15.sql,tpcds,4,14.58
query16.sql,tpcds,4,15.02
query17.sql,tpcds,4,30.33
query18.sql,tpcds,4,14.93
query19.sql,tpcds,4,14.03
query2.sql,tpcds,4,14.24
query20.sql,tpcds,4,12.94
query21.sql,tpcds,4,12.99
query22.sql,tpcds,4,13.81
query23.sql,tpcds,4,8.66
query24.sql,tpcds,4,8.11
query25.sql,tpcds,4,28.71
query26.sql,tpcds,4,14.56
query27.sql,tpcds,4,15.64
query28.sql,tpcds,4,19.89
query29.sql,tpcds,4,29.39
query3.sql,tpcds,4,12.98
query30.sql,tpcds,4,8.66
query31.sql,tpcds,4,18.57
query32.sql,tpcds,4,14.44
query33.sql,tpcds,4,16.04
query34.sql,tpcds,4,14.43
query35.sql,tpcds,4,17.26
query36.sql,tpcds,4,15.02
query37.sql,tpcds,4,15.56
query38.sql,tpcds,4,20.49
query39.sql,tpcds,4,8.31
query4.sql,tpcds,4,37.96
query40.sql,tpcds,4,20.76
query41.sql,tpcds,4,10.57
query42.sql,tpcds,4,12.44
query43.sql,tpcds,4,12.72
query44.sql,tpcds,4,15.05
query45.sql,tpcds,4,14.07
query46.sql,tpcds,4,15.09
query47.sql,tpcds,4,19.47
query48.sql,tpcds,4,15.39
query49.sql,tpcds,4,20.57
query5.sql,tpcds,4,19.63
query50.sql,tpcds,4,23.70
query51.sql,tpcds,4,23.19
query52.sql,tpcds,4,13.67
query53.sql,tpcds,4,14.54
query54.sql,tpcds,4,17.52
query55.sql,tpcds,4,14.18
query56.sql,tpcds,4,16.49
query57.sql,tpcds,4,15.45
query58.sql,tpcds,4,16.92
query59.sql,tpcds,4,16.09
query6.sql,tpcds,4,20.33
query60.sql,tpcds,4,15.76
query61.sql,tpcds,4,10.73
query62.sql,tpcds,4,14.09
query63.sql,tpcds,4,14.36
query64.sql,tpcds,4,36.31
query65.sql,tpcds,4,17.75
query66.sql,tpcds,4,16.13
query67.sql,tpcds,4,8.02
query68.sql,tpcds,4,14.95
query69.sql,tpcds,4,11.60
query7.sql,tpcds,4,15.27
query70.sql,tpcds,4,15.49
query71.sql,tpcds,4,15.51
query72.sql,tpcds,4,36.19
query73.sql,tpcds,4,14.77
query74.sql,tpcds,4,27.15
query75.sql,tpcds,4,25.81
query76.sql,tpcds,4,14.70
query77.sql,tpcds,4,18.01
query78.sql,tpcds,4,35.23
query79.sql,tpcds,4,14.55
query8.sql,tpcds,4,14.38
query80.sql,tpcds,4,36.02
query81.sql,tpcds,4,15.16
query82.sql,tpcds,4,16.49
query83.sql,tpcds,4,14.47
query84.sql,tpcds,4,13.90
query85.sql,tpcds,4,17.25
query86.sql,tpcds,4,14.06
query87.sql,tpcds,4,19.17
query88.sql,tpcds,4,17.82
query89.sql,tpcds,4,14.99
query9.sql,tpcds,4,15.25
query90.sql,tpcds,4,12.68
query91.sql,tpcds,4,12.45
query92.sql,tpcds,4,14.44
query93.sql,tpcds,4,26.52
query94.sql,tpcds,4,20.24
query95.sql,tpcds,4,25.50
query96.sql,tpcds,4,11.57
query97.sql,tpcds,4,19.33
query98.sql,tpcds,4,14.48
query99.sql,tpcds,4,14.97
1.sql,tpch,5,32.40
10.sql,tpch,5,20.85
11.sql,tpch,5,12.43
12.sql,tpch,5,18.04
13.sql,tpch,5,20.25
14.sql,tpch,5,14.71
15.sql,tpch,5,17.65
16.sql,tpch,5,17.70
17.sql,tpch,5,33.83
18.sql,tpch,5,34.39
19.sql,tpch,5,14.86
2.sql,tpch,5,15.94
20.sql,tpch,5,16.37
21.sql,tpch,5,32.35
22.sql,tpch,5,15.41
3.sql,tpch,5,22.06
4.sql,tpch,5,21.48
5.sql,tpch,5,31.34
6.sql,tpch,5,11.45
7.sql,tpch,5,30.48
8.sql,tpch,5,23.95
9.sql,tpch,5,30.01
query1.sql,tpcds,5,15.01
query10.sql,tpcds,5,15.59
query11.sql,tpcds,5,29.73
query12.sql,tpcds,5,14.32
query13.sql,tpcds,5,14.63
query14.sql,tpcds,5,8.40
query15.sql,tpcds,5,14.66
query16.sql,tpcds,5,15.56
query17.sql,tpcds,5,29.86
query18.sql,tpcds,5,15.81
query19.sql,tpcds,5,14.35
query2.sql,tpcds,5,14.56
query20.sql,tpcds,5,13.93
query21.sql,tpcds,5,13.31
query22.sql,tpcds,5,15.05
query23.sql,tpcds,5,8.24
query24.sql,tpcds,5,8.22
query25.sql,tpcds,5,29.15
query26.sql,tpcds,5,13.99
query27.sql,tpcds,5,15.33
query28.sql,tpcds,5,19.75
query29.sql,tpcds,5,29.66
query3.sql,tpcds,5,12.71
query30.sql,tpcds,5,8.64
query31.sql,tpcds,5,19.44
query32.sql,tpcds,5,13.93
query33.sql,tpcds,5,15.87
query34.sql,tpcds,5,14.50
query35.sql,tpcds,5,17.36
query36.sql,tpcds,5,14.35
query37.sql,tpcds,5,15.53
query38.sql,tpcds,5,19.76
query39.sql,tpcds,5,8.62
query4.sql,tpcds,5,38.43
query40.sql,tpcds,5,19.90
query41.sql,tpcds,5,10.53
query42.sql,tpcds,5,13.02
query43.sql,tpcds,5,12.84
query44.sql,tpcds,5,15.25
query45.sql,tpcds,5,13.65
query46.sql,tpcds,5,14.87
query47.sql,tpcds,5,19.05
query48.sql,tpcds,5,13.62
query49.sql,tpcds,5,20.81
query5.sql,tpcds,5,19.92
query50.sql,tpcds,5,21.30
query51.sql,tpcds,5,23.12
query52.sql,tpcds,5,12.90
query53.sql,tpcds,5,14.09
query54.sql,tpcds,5,18.23
query55.sql,tpcds,5,14.08
query56.sql,tpcds,5,16.38
query57.sql,tpcds,5,14.42
query58.sql,tpcds,5,16.62
query59.sql,tpcds,5,15.90
query6.sql,tpcds,5,22.28
query60.sql,tpcds,5,16.86
query61.sql,tpcds,5,10.27
query62.sql,tpcds,5,13.79
query63.sql,tpcds,5,13.92
query64.sql,tpcds,5,37.58
query65.sql,tpcds,5,17.79
query66.sql,tpcds,5,17.61
query67.sql,tpcds,5,8.11
query68.sql,tpcds,5,14.43
query69.sql,tpcds,5,11.62
query7.sql,tpcds,5,15.58
query70.sql,tpcds,5,15.64
query71.sql,tpcds,5,14.94
query72.sql,tpcds,5,35.48
query73.sql,tpcds,5,14.43
query74.sql,tpcds,5,26.70
query75.sql,tpcds,5,25.40
query76.sql,tpcds,5,14.61
query77.sql,tpcds,5,16.33
query78.sql,tpcds,5,36.00
query79.sql,tpcds,5,14.61
query8.sql,tpcds,5,14.95
query80.sql,tpcds,5,35.24
query81.sql,tpcds,5,14.62
query82.sql,tpcds,5,16.45
query83.sql,tpcds,5,14.28
query84.sql,tpcds,5,14.24
query85.sql,tpcds,5,17.92
query86.sql,tpcds,5,13.28
query87.sql,tpcds,5,20.45
query88.sql,tpcds,5,17.74
query89.sql,tpcds,5,14.83
query9.sql,tpcds,5,15.16
query90.sql,tpcds,5,12.88
query91.sql,tpcds,5,13.23
query92.sql,tpcds,5,14.25
query93.sql,tpcds,5,27.12
query94.sql,tpcds,5,19.66
query95.sql,tpcds,5,27.22
query96.sql,tpcds,5,11.71
query97.sql,tpcds,5,20.32
query98.sql,tpcds,5,14.48
query99.sql,tpcds,5,13.92
1.sql,tpch,6,30.79
10.sql,tpch,6,21.21
11.sql,tpch,6,12.06
12.sql,tpch,6,17.74
13.sql,tpch,6,19.40
14.sql,tpch,6,14.81
15.sql,tpch,6,17.87
16.sql,tpch,6,16.78
17.sql,tpch,6,33.93
18.sql,tpch,6,33.69
19.sql,tpch,6,15.06
2.sql,tpch,6,16.07
20.sql,tpch,6,16.91
21.sql,tpch,6,33.60
22.sql,tpch,6,15.96
3.sql,tpch,6,19.47
4.sql,tpch,6,24.48
5.sql,tpch,6,27.33
6.sql,tpch,6,11.47
7.sql,tpch,6,27.92
8.sql,tpch,6,24.35
9.sql,tpch,6,31.96
query1.sql,tpcds,6,15.16
query10.sql,tpcds,6,16.60
query11.sql,tpcds,6,28.21
query12.sql,tpcds,6,14.39
query13.sql,tpcds,6,14.53
query14.sql,tpcds,6,8.06
query15.sql,tpcds,6,14.30
query16.sql,tpcds,6,15.25
query17.sql,tpcds,6,29.50
query18.sql,tpcds,6,15.37
query19.sql,tpcds,6,14.86
query2.sql,tpcds,6,14.80
query20.sql,tpcds,6,13.18
query21.sql,tpcds,6,14.11
query22.sql,tpcds,6,14.28
query23.sql,tpcds,6,8.65
query24.sql,tpcds,6,8.27
query25.sql,tpcds,6,29.79
query26.sql,tpcds,6,14.56
query27.sql,tpcds,6,15.64
query28.sql,tpcds,6,19.71
query29.sql,tpcds,6,29.05
query3.sql,tpcds,6,12.31
query30.sql,tpcds,6,8.39
query31.sql,tpcds,6,18.90
query32.sql,tpcds,6,13.51
query33.sql,tpcds,6,16.05
query34.sql,tpcds,6,14.20
query35.sql,tpcds,6,17.20
query36.sql,tpcds,6,14.27
query37.sql,tpcds,6,15.93
query38.sql,tpcds,6,19.88
query39.sql,tpcds,6,8.49
query4.sql,tpcds,6,36.39
query40.sql,tpcds,6,18.29
query41.sql,tpcds,6,10.74
query42.sql,tpcds,6,12.07
query43.sql,tpcds,6,13.51
query44.sql,tpcds,6,14.75
query45.sql,tpcds,6,14.02
query46.sql,tpcds,6,15.00
query47.sql,tpcds,6,19.94
query48.sql,tpcds,6,15.02
query49.sql,tpcds,6,21.04
query5.sql,tpcds,6,19.99
query50.sql,tpcds,6,22.71
query51.sql,tpcds,6,23.23
query52.sql,tpcds,6,13.10
query53.sql,tpcds,6,14.43
query54.sql,tpcds,6,18.23
query55.sql,tpcds,6,14.47
query56.sql,tpcds,6,15.74
query57.sql,tpcds,6,14.81
query58.sql,tpcds,6,16.10
query59.sql,tpcds,6,15.76
query6.sql,tpcds,6,22.87
query60.sql,tpcds,6,16.58
query61.sql,tpcds,6,10.38
query62.sql,tpcds,6,13.96
query63.sql,tpcds,6,13.66
query64.sql,tpcds,6,36.02
query65.sql,tpcds,6,18.49
query66.sql,tpcds,6,15.92
query67.sql,tpcds,6,8.43
query68.sql,tpcds,6,15.61
query69.sql,tpcds,6,11.57
query7.sql,tpcds,6,15.14
query70.sql,tpcds,6,15.68
query71.sql,tpcds,6,14.66
query72.sql,tpcds,6,36.63
query73.sql,tpcds,6,13.73
query74.sql,tpcds,6,29.42
query75.sql,tpcds,6,25.35
query76.sql,tpcds,6,15.04
query77.sql,tpcds,6,17.06
query78.sql,tpcds,6,35.51
query79.sql,tpcds,6,14.58
query8.sql,tpcds,6,14.54
query80.sql,tpcds,6,36.28
query81.sql,tpcds,6,15.36
query82.sql,tpcds,6,16.47
query83.sql,tpcds,6,14.68
query84.sql,tpcds,6,14.11
query85.sql,tpcds,6,18.13
query86.sql,tpcds,6,13.23
query87.sql,tpcds,6,19.66
query88.sql,tpcds,6,17.04
query89.sql,tpcds,6,14.51
query9.sql,tpcds,6,14.89
query90.sql,tpcds,6,12.60
query91.sql,tpcds,6,13.21
query92.sql,tpcds,6,14.57
query93.sql,tpcds,6,29.24
query94.sql,tpcds,6,19.34
query95.sql,tpcds,6,25.83
query96.sql,tpcds,6,12.10
query97.sql,tpcds,6,19.17
query98.sql,tpcds,6,15.01
query99.sql,tpcds,6,13.28
1.sql,tpch,7,31.50
10.sql,tpch,7,19.95
11.sql,tpch,7,12.36
12.sql,tpch,7,19.91
13.sql,tpch,7,20.03
14.sql,tpch,7,14.69
15.sql,tpch,7,16.65
16.sql,tpch,7,18.24
17.sql,tpch,7,34.31
18.sql,tpch,7,35.22
19.sql,tpch,7,14.99
2.sql,tpch,7,15.22
20.sql,tpch,7,16.95
21.sql,tpch,7,34.70
22.sql,tpch,7,15.63
3.sql,tpch,7,20.00
4.sql,tpch,7,23.39
5.sql,tpch,7,37.35
6.sql,tpch,7,11.84
7.sql,tpch,7,26.44
8.sql,tpch,7,25.39
9.sql,tpch,7,32.30
query1.sql,tpcds,7,15.89
query10.sql,tpcds,7,16.38
query11.sql,tpcds,7,28.20
query12.sql,tpcds,7,14.46
query13.sql,tpcds,7,14.82
query14.sql,tpcds,7,8.57
query15.sql,tpcds,7,15.06
query16.sql,tpcds,7,15.80
query17.sql,tpcds,7,29.78
query18.sql,tpcds,7,15.52
query19.sql,tpcds,7,15.36
query2.sql,tpcds,7,15.04
query20.sql,tpcds,7,13.16
query21.sql,tpcds,7,13.63
query22.sql,tpcds,7,15.11
query23.sql,tpcds,7,7.82
query24.sql,tpcds,7,8.44
query25.sql,tpcds,7,29.44
query26.sql,tpcds,7,14.97
query27.sql,tpcds,7,15.09
query28.sql,tpcds,7,19.83
query29.sql,tpcds,7,29.40
query3.sql,tpcds,7,12.26
query30.sql,tpcds,7,8.56
query31.sql,tpcds,7,20.80
query32.sql,tpcds,7,14.16
query33.sql,tpcds,7,16.16
query34.sql,tpcds,7,14.19
query35.sql,tpcds,7,17.28
query36.sql,tpcds,7,14.54
query37.sql,tpcds,7,15.45
query38.sql,tpcds,7,20.80
query39.sql,tpcds,7,8.46
query4.sql,tpcds,7,37.60
query40.sql,tpcds,7,19.85
query41.sql,tpcds,7,10.33
query42.sql,tpcds,7,13.03
query43.sql,tpcds,7,12.69
query44.sql,tpcds,7,14.95
query45.sql,tpcds,7,14.12
query46.sql,tpcds,7,14.77
query47.sql,tpcds,7,18.37
query48.sql,tpcds,7,14.97
query49.sql,tpcds,7,20.98
query5.sql,tpcds,7,19.92
query50.sql,tpcds,7,22.75
query51.sql,tpcds,7,24.28
query52.sql,tpcds,7,12.54
query53.sql,tpcds,7,13.95
query54.sql,tpcds,7,18.09
query55.sql,tpcds,7,13.79
query56.sql,tpcds,7,16.20
query57.sql,tpcds,7,15.80
query58.sql,tpcds,7,16.78
query59.sql,tpcds,7,15.86
query6.sql,tpcds,7,20.49
query60.sql,tpcds,7,17.70
query61.sql,tpcds,7,10.29
query62.sql,tpcds,7,13.72
query63.sql,tpcds,7,14.02
query64.sql,tpcds,7,36.83
query65.sql,tpcds,7,18.45
query66.sql,tpcds,7,16.78
query67.sql,tpcds,7,8.34
query68.sql,tpcds,7,15.29
query69.sql,tpcds,7,12.30
query7.sql,tpcds,7,15.87
query70.sql,tpcds,7,15.48
query71.sql,tpcds,7,14.49
query72.sql,tpcds,7,36.30
query73.sql,tpcds,7,14.00
query74.sql,tpcds,7,27.82
query75.sql,tpcds,7,25.02
query76.sql,tpcds,7,15.11
query77.sql,tpcds,7,16.60
query78.sql,tpcds,7,35.53
query79.sql,tpcds,7,14.77
query8.sql,tpcds,7,14.22
query80.sql,tpcds,7,36.36
query81.sql,tpcds,7,15.12
query82.sql,tpcds,7,16.11
query83.sql,tpcds,7,14.45
query84.sql,tpcds,7,13.47
query85.sql,tpcds,7,17.87
query86.sql,tpcds,7,13.64
query87.sql,tpcds,7,21.19
query88.sql,tpcds,7,17.73
query89.sql,tpcds,7,14.68
query9.sql,tpcds,7,14.70
query90.sql,tpcds,7,12.66
query91.sql,tpcds,7,12.37
